title,link,authors,journal,location,population,intervention,outcomes-bf,outcomes-behavior,outcomes-health,design,sampling,soe,smbc
Socially marketed insecticide-treated nets effectively reduce Plasmodium infection and anaemia among children in urban Malawi,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2006.01684.x/abstract,"Mathanga DP, Campbell CH, Taylor TE, Barlow R, Wilson ML","Tropical Medicine and International Health, 2006, 11(9): 1367-1374","Ndirande, Blantyre, Malawi",Children age  6-59 months,ITN social marketing by PSI,Knowledge of ITNs,42% of children reported ITN use the previous night,42% of children reported ITN use the previous night,Observational,Probability,4,"2: Segmentation, Methods mix"
Reduction of childhood malaria by social marketing of insecticide-treated nets: A case-control study of effectiveness in Malawi,http://www.ajtmh.org/content/73/3/622.long,"Mathanga DP, Campbell CH, Taylor TE, Barlow R, Wilson ML","The American journal of tropical medicine and hygiene, 2005, 73(3): 622-625","Blantyre, Malawi",Case-control study of children under  age 5 with history of fever within last 48 hours,ITN social marketing (PSI),ITN coverage,,"Individual effectiveness of ITN use was 40% (95% confidence interval [CI] 10–60%) when cases were
compared with clinic controls and 50% (95% CI 0–60%) in comparison with community controls; 1,480
malaria cases averted by the intervention in a population of 15,000 children",Quasi-experimental,Probability,5,"2: Segmentation, Methods  mix"
Spatial effects of the social marketing of insecticide-treated nets on malaria morbidity,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2004.01354.x/abstract,"Abdulla S, Gemperli A, Mukasa O, Armstrong Schellenberg JR, Lengeler C, Vounatsou P, Smith T","Tropical Medicine and International Health, 2005, 10(1): 11–18",Tanzania,Households,Social marketing of ITNs,"Coverage, distribution pattern and resultant spatial effects",Percent of children using a treated net,"Prevalence of parasitaemia, mild anaemia (Hb <11 g/dl) and moderate/severe anaemia (Hb <8 g/dl) in children under five; children living in areas of moderately high ITN coverage were",Observational,Probability,4,0
"The economics of social marketing: The case of
mosquito nets in Tanzania",http://www.sciencedirect.com/science/article/pii/S0277953604002291,"Kikumbih N, Hanson K, Mills A, Mponda H, Schellenberg JA","Social Science & Medicine, 2005, 60: 369–381","Kilombero and Kilosa, Uganda",Household survey of men and women,Kilombero and Ulanga insecticide-treated net (KINET) project used social marketing to  promote Zuia  Mbu nets and insecticide treatment kits,"Knowledge  about ITNS and insecticide treatment, coverage (proportion of households with at least one net)",,About half as likely to have moderate/severe anaemia,Observational,Probability,3,"4: Customer orientation, Behavior, Segmentation, Methods mix"
"Mosquito nets and the poor: Can social marketing redress
inequities in access?",http://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2004.01309.x/abstract,"Nathan R, Masanja H, Mshinda H, Schellenberg JA, de Savigny D, Lengeler C, Tanner M, Victora CG","Tropical Medicine and International Health, 2004, 9(10):1121–1126",Rural Tanzania,Households,Social marketing of treated nets over three year period,Ownership  increased 37% to 73%; among poorest households ownership of at least one net  increased 20% to 54%,,,Observational,Probability,3,"5: Customer orientation, Insight, Competition, Segmentation, Methods mix"
"Insecticide-treated bednet use, anaemia, and malaria parasitaemia in Blantyre District, Malawi",http://onlinelibrary.wiley.com/doi/10.1046/j.1365-3156.2002.00846.x/abstract,"Holtz TH, Marum LH, Mkandala C, Chizani N, Roberts JM, Macheso A, Parise ME, Kachur SP","Tropical Medicine and International Health, 2002, 7(3): 220–230","Blantyre District, Malawi",Households with at least one child less than 5 years of age,Social marketing of ITNs by PSI,"Bednet ownership was low
(20.5% of households)","Only 3.3% of rural children under 5 had slept under a net the previous night, compared",Health: rural children under 5 in households without nets experienced a statistically significant higher prevalence of malaria parasitaemia [RR  4.9] than children in households with at least one bednet,Observational,Probability,4,"6: Behavior, Customer orientation, Insight, Exchange, Segmentation, Methods mix"
Impact of malaria morbidity of a programme supplying insecticide treated nets in children aged under 2 years in Tanzania: Community cross sectional study,http://www.bmj.com/content/322/7281/270,"Abdulla S, Schellenberg JA, Nathan R, Mukasa O, Marchant T, Smith T, Tanner M, Lengeler C","British Medical Journal, 2001, 322: 270-273",Tanzania,Children under  age  2,Social marketing of ITNs and insecticide,Net ownership of treated nets increased 10% to 61%,with 24.0% of urban children,Prevalence  of parasitemia and haemoglobin levels; prevalence  of anemia  decreased from  49% to 26%; Treated nets had a protective efficacy of 62% on prevalence of parasitaemia and of 63% on anaemia.,Observational,Probability,4,1: Methods mix
Effect of large-scale social marketing of insecticide-treated nets on child survival in rural Tanzania,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(00)04404-4/fulltext,"Schellenberg JR, Abdulla S, Nathan R, Mukasa O, Marchant TJ, Kikumbih N, Mushi AK, Mponda H, Minja H, Mshinda H, Tanner M, Lengeler C","Lancet, 2001, 357(9264): 1241-7",Kilombero and Ulanga Districts in  southwestern Tanzania,Case-control study among children age 1 month to 4 years and a demographic surveillance system survey of households,ITN social marketing,"Insecticide-treated net coverage of infants in the study area rose from less than 10% at baseline to more than
50% 3 years later.",,"18 months after launching, 46% of 312 families with children aged under 5 years reported that their children were sleeping under treated nets",Quasi-experimental,Purposive,4,"6: Behavior, Customer orientation, Insight, Exchange, Segmentation, Methods mix"
"Socially-marketed rapid diagnostic tests and ACT
in the private sector: Ten years of experience in
Cambodia",http://www.malariajournal.com/content/10/1/243,"Yeung S, Patouillard E, Allen H, Socheat D","Malaria Journal, 2001, 10(243): 1-14",Cambodia,Providers and households,Social  marketing of RDTs and ACT,"Providers knowledge of RDTS and ACT, product availablity, sales/selling price; Consumer awareness of RDTS and ACT","18 months after launching, 46% of 312 families with children aged under 5 years reported that their children were sleeping under treated nets",,Observational,Purposive,2,"7: Behavior, Customer orientation,  Insight, Exchange, Competition, Segmentation, Methods mix"
"KINET: A social marketing programme of treated nets and net treatment for malaria control in Tanzania, with evaluation of child health and long-term survival",http://www.sciencedirect.com/science/article/pii/S0035920399900019,"Schellenberg JR, Abdulla S, Minja H, Nathan R, Mukasa O, Marchant T, Mponda H, Kikumbih N, Lyimo E, Manchester T, Tanner M, Lengeler C","Trans R Soc Trop Med Hyg, 1999,  93(3): 225-31",Kilombero and Ulanga Districts in  southwestern Tanzania,Cross-sectional  survey among households,ITN and insecticide social marketing,24% of households had at least one treated net,"18 months after launching, 46% of 312 families with children aged under 5 years reported that their children were sleeping under treated nets",,Observational,Probability,3,"6: Behavior, Customer orientation, Insight, Exchange, Segmentation, Methods mix"
